"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"95",94,"U. of Alabama at Birmingham (Chemistry)","176","178","176","178","143","173","139","169","97","167"
"96",95,"U. of Arizona (Chemistry)","27","76","25","99","133","172","54","112","24","67"
"97",96,"U. of Arkansas Main Campus (Chemistry)","73","152","53","142","67","163","89","144","78","138"
"98",97,"U. of California at Berkeley (Chemistry)","3","8","2","10","17","89","122","163","1","2"
"99",98,"U. of California at Davis (Agricultural &amp; Environmental Chemistry)","31","90","24","102","11","83","34","91","35","86"
"100",99,"U. of California at Davis (Chemistry)","30","88","23","97","76","156","52","106","16","59"
"101",100,"U. of California at Irvine (Chemistry)","15","55","15","70","10","81","98","149","13","45"
"102",101,"U. of California at Los Angeles (Chemistry)","8","28","5","25","85","160","69","124","11","33"
"103",102,"U. of California at Riverside (Chemistry)","51","113","39","109","119","169","46","97","52","111"
"104",103,"U. of California at San Diego (Chemistry and Biochemistry)","12","35","10","37","13","94","78","138","10","31"
"105",104,"U. of California at San Francisco (Chemistry and Chemical Biology)","6","20","6","24","8","141","103","152","14","65"
"106",105,"U. of California at Santa Barbara (Chemistry)","14","48","12","48","11","91","115","160","17","50"
"107",106,"U. of California at Santa Cruz (Chemistry and Biochemistry)","79","151","40","125","129","170","19","65","91","151"
"108",107,"U. of Chicago (Chemistry)","14","41","16","55","16","92","114","157","12","39"
"109",108,"U. of Cincinnati Main Campus (Chemistry)","85","148","72","148","9","82","45","101","80","133"
"110",109,"U. of Colorado at Boulder (Chemistry and Biochemistry)","19","67","13","63","69","150","98","153","12","36"
"111",110,"U. of Connecticut (Chemistry Ph.D.)","77","142","66","149","40","133","37","86","76","134"
"112",111,"U. of Delaware (Chemistry and Biochemistry)","87","155","64","145","68","150","81","138","56","111"
"113",112,"U. of Florida (Chemistry)","30","77","31","96","10","82","39","93","17","56"
"114",113,"U. of Georgia (Chemistry)","29","80","27","94","19","106","98","148","20","56"
"115",114,"U. of Hawaii-Manoa (Chemistry)","150","174","135","175","78","158","131","166","146","175"
"116",115,"U. of Houston main campus (Chemistry)","55","119","45","121","53","137","22","61","65","128"
"117",116,"U. of Idaho (Chemistry)","112","161","128","170","23","115","144","171","111","161"
"118",117,"U. of Illinois at Chicago (Chemistry)","56","121","41","117","130","172","70","128","39","92"
"119",118,"U. of Illinois at Urbana-Champaign (Chemistry)","5","15","5","18","13","91","149","172","2","8"
"120",119,"U. of Iowa (Chemistry)","41","104","39","123","61","142","32","77","37","92"
"121",120,"U. of Kansas (Chemistry)","43","105","48","137","18","106","20","67","47","115"
"122",121,"U. of Kansas (Medicinal Chemistry)","18","65","29","120","15","121","28","73","71","167"
"123",122,"U. of Kansas (Pharmaceutical Chemistry)","37","102","23","106","6","83","89","139","58","116"
"124",123,"U. of Kentucky (Chemistry)","31","88","31","106","3","51","89","140","29","82"
"125",124,"U. of Louisville (Chemistry)","74","136","122","172","5","86","17","49","87","164"
"126",125,"U. of Maryland at Baltimore and Baltimore County (Biochemistry)","51","118","45","126","4","48","12","44","88","154"
"127",126,"U. of Maryland at College Park (Chemistry)","30","85","21","89","21","101","44","103","30","78"
"128",127,"U. of Maryland-Baltimore County (Chemistry)","116","166","95","159","98","168","7","25","98","155"
"129",128,"U. of Massachusetts at Amherst (Chemistry)","30","85","29","100","31","122","20","58","37","87"
"130",129,"U. of Memphis (Chemistry)","171","176","173","178","69","149","92","153","145","173"
"131",130,"U. of Miami (Chemistry)","47","95","48","109","73","159","143","170","35","119"
"132",131,"U. of Michigan at Ann Arbor (Chemistry)","18","59","25","96","18","105","26","75","11","38"
"133",132,"U. of Minnesota-Twin Cities (Chemistry)","19","58","15","56","65","151","124","165","16","45"
"134",133,"U. of Minnesota-Twin Cities (Medicinal Chemistry)","68","145","52","145","32","127","19","62","72","134"
"135",134,"U. of Mississippi (Chemistry)","129","168","128","172","21","127","14","42","108","160"
"136",135,"U. of Missouri at Columbia (Chemistry)","92","150","80","150","93","164","45","95","89","151"
"137",136,"U. of Missouri at Kansas City (Chemistry)","115","164","111","166","66","166","174","178","105","161"
"138",137,"U. of Missouri at Rolla (Chemistry)","78","146","92","164","18","97","33","80","124","170"
"139",138,"U. of Missouri at Saint Louis (Chemistry)","95","156","87","160","92","164","2","5","126","169"
"140",139,"U. of Montana at Missoula (Chemistry)","79","152","102","170","2","63","157","173","73","169"
"141",140,"U. of Nebraska at Lincoln (Chemistry)","109","162","104","163","93","162","124","165","63","115"
"142",141,"U. of Nevada at Reno (Chemical Physics)","165","178","137","171","176","178","172","176","147","177"
"143",142,"U. of Nevada at Reno (Chemistry)","111","165","93","159","22","150","53","114","81","140"
"144",143,"U. of New Hampshire (Chemistry)","122","168","110","167","98","166","176","178","85","145"
"145",144,"U. of New Mexico Main Campus (Chemistry)","50","129","72","157","5","129","18","49","73","155"
"146",145,"U. of North Carolina at Chapel Hill (Chemistry)","8","23","8","33","49","133","85","145","4","14"
"147",146,"U. of North Dakota Main Campus (Chemistry)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"148",147,"U. of North Texas (Chemistry)","144","175","106","171","116","169","48","114","125","171"
"149",148,"U. of Notre Dame (Chemistry)","54","123","34","109","54","150","112","159","42","92"
"150",149,"U. of Oklahoma Norman Campus (Chemistry)","56","116","80","149","45","134","44","99","53","108"
"151",150,"U. of Oregon (Chemistry)","68","135","51","128","109","171","111","159","56","109"
"152",151,"U. of Pennsylvania (Chemistry)","20","59","18","67","36","123","91","155","12","39"
"153",152,"U. of Pittsburgh Main Campus (Chemistry)","38","89","27","88","60","146","106","157","22","60"
"154",153,"U. of Rhode Island (Chemistry)","163","176","164","178","68","153","138","166","133","171"
"155",154,"U. of Rochester (Chemistry)","69","120","55","122","46","141","68","128","69","116"
"156",155,"U. of South Carolina at Columbia (Chemistry)","25","81","15","64","25","113","38","95","26","70"
"157",156,"U. of South Florida (Chemistry)","30","94","19","90","21","98","7","26","51","116"
"158",157,"U. of Southern California (Chemistry)","47","109","33","111","90","162","88","141","32","81"
"159",158,"U. of Southern Mississippi (Chemistry)","56","141","52","145","39","127","11","33","77","157"
"160",159,"U. of Tennessee (Chemistry)","80","139","74","140","29","116","117","161","48","116"
"161",160,"U. of Texas at Austin (Chemistry)","16","59","9","36","26","111","155","173","9","35"
"162",161,"U. of Texas at Dallas (Chemistry)","102","161","80","157","111","167","19","58","88","151"
"163",162,"U. of Toledo (Chemistry)","119","165","133","174","15","121","26","82","112","166"
"164",163,"U. of Utah (Chemistry)","18","61","21","88","15","94","64","129","18","55"
"165",164,"U. of Vermont (Chemistry)","137","173","111","165","78","163","161","174","77","135"
"166",165,"U. of Virginia (Chemistry)","53","102","39","100","32","120","94","155","41","91"
"167",166,"U. of Washington (Chemistry)","28","74","27","95","47","131","89","152","11","32"
"168",167,"U. of Wisconsin at Madison (Chemistry)","16","50","20","77","15","94","73","138","8","37"
"169",168,"U. of Wisconsin at Milwaukee (Chemistry)","136","171","104","164","132","172","131","170","67","130"
"170",169,"Utah State U. (Chemistry, Bio Chemistry (SCI))","91","152","97","166","2","56","51","115","130","174"
"171",170,"Vanderbilt U. (Chemistry)","28","87","30","118","7","80","116","165","32","79"
"172",171,"Virginia Commonwealth U. (Chemistry)","147","173","112","165","106","167","17","45","117","172"
"173",172,"Virginia Tech (Chemistry)","60","128","87","160","33","114","93","144","66","132"
"174",173,"Virginia Tech (Macromolecular Science and Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"175",174,"Wake Forest U. (Chemistry)","163","174","170","177","110","170","19","55","129","169"
"176",175,"Washington State U. (Chemistry)","75","147","63","145","43","137","41","108","51","113"
"177",176,"Washington U. in St. Louis (Chemistry)","27","78","40","120","5","68","66","128","25","79"
"178",177,"Wayne State U. (Chemistry)","32","87","31","101","8","73","40","94","35","96"
"179",178,"Western Michigan U. (Chemistry)","54","137","52","130","2","126","121","165","49","134"
"180",179,"Yale U. (Chemistry)","5","15","4","15","48","136","83","146","6","24"
